estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem,latitude,longitude,idioma
Playa El Carabassi - Elche,8399005,atracao-review,EncarniGG,2019-11-16,2019-08-03,4.0,Dia de plata,"Una playa limpia y de aguas cristalinas cuando el mar quiere .
Muy difícil aparcar y el traslado del coche a la playa suele ser algo alejado cerca de la playa están los chiringuitos donde te puedes refrescar","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Sampa2008,2019-11-10,2019-09-03,5.0,Vacaciones,Playa excelente limpia buen agua y muy tranquila con zonas naturalistas y dunas naturales con una zona nudista,2 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,pedrom927,2019-11-06,2019-10-03,5.0,La mejor Playa de Elche,"Es una playa limpia, accesible, cerca de la ciudad de Elche, con muchas zonas de aparcamiento disponibles incluso en temporada alta. Además, tienes mucho metros de recorrido para realizar una caminata y disfrutar de sus vistas. Si visitas esta zona, es imprescindible que vayas a recorrerla. Es playa de arena, no te calas (rocas) pero eso no quita su belleza",Elch,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Vicente582,2019-10-11,2019-08-03,4.0,Playa,"Playa tranquila y con el agua transparente. Ideal para disfrutar del mar. Sitio perfecto para relajarse y leer con comodidad.
Chiringuito cercano donde tomar una cerveza, refresco con alguna cosa para picar.
Sin construcciones cercanas. Sólo dunas, arena fina y ambiente agradable.",1 aporte,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,256pepev,2019-10-09,2019-10-03,5.0,Playa maravillosa,"Aguas limpias
Arenas doradas
Una playa para venir desde lejos a visitarla, si vives cerca mucho mejor...
Es frecuente la práctica de playa libre donde se puede tomar el sol desnudo","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,auroraerreerre,2019-10-01,2019-09-03,5.0,evita los domingos,"Los fines de semana se llena de gente poco respetuosa con el medio ambiente y el resto de usuarios, los domingos mucha gente y vehículos y los lunes los residuos que dejan estas personas. El resto del tiempo es un paraíso de aguas cristalinas y arena suave.","Bilbao, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,davidsA7152UZ,2019-09-22,2019-08-03,3.0,Playa salvaje,Aquí le guste este tipo de playas muy recomendable el q busque una playa más comercializada mejor ir a las playas de Santa pola q esta a unos 5 kilómetros o ir a guardamar un poquito más lejos,3 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Satsuio,2019-09-09,2019-08-03,4.0,Siempre un buen baño en el mediterráneo ! : ),"Toda la zona de los Arenales del Sol es estupenda para pasar un buen día, semanas o incluso años. Desde el ambiente, la zona y la temperatura del agua.
Siempre estupendo ( aunque sea redundante ).","Monforte de Lemos, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,gemag100,2019-08-28,2019-08-03,5.0,Playa espectacular y salvaje,"Muy recomendable. Playa accesible en coche con parking gratuito, pero cuidado que en agosto se masifica el parking.
La playa es espectacular, sin edificios al lado hace que la playa sea más natural y salvaje. Se accede a través de una camino de madera como a 5 minutos del parking, camino que te permite tener unas vistas privilegiadas de la playa y el emplazamiento.
La playa es de arena amplia y lisa con chiringuito y el agua cristalina y a buena temperatura.
Sin duda para volver mil veces, es una playa espectacular.","Móstoles, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Mayte4849,2019-08-12,2019-07-03,5.0,No es como el resto de playas mediterráneas,"Playa con agua cristalina, una zona nudista, tranquila y salvaje con zona de aparcamiento gratuito. Me encanta!","Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,AnaJ60,2019-08-07,2019-07-03,4.0,Playa en plana naturaleza,"Me encantó la playa, porque no es como el resto del Mediterráneo no hay casas cerca,es todo un paraje natural muy buenas vistas de la costa,nada masificada,lo únic
o hay un buen paseo para llegar a l
playa pero hay parking gratuito y todo está de madera muy bien hecho todo el camino,lo único que le falta un poco de iluminación.","Móstoles, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,pelayop2013,2019-07-29,2019-07-03,5.0,Preciosa,"Playa enorme, preciosa, muy cuidada, con todo tipo de servicios.
Tiene una zona nudista.
Vistas preciosas","Asturias, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,225mariant,2019-06-09,2019-06-03,5.0,Playa polifacética,"La extensión de esta playa permite elegir el ambiente que más se adapte a tu estado de ánimo o a lo que necesites ese día, siempre bañada con una agua espectacular, cristalina y abierta.
Si quieres hamacas, chiringuito y buena música, lo tienes. Que quieres disfrutar de una playa libre, también la tienes y si lo que quieres es disfrutar de tranquilidad, un buen libro y el ruido del mar de fondo, también tienes ese rincón. Solo hay que caminar hasta encontrarlo.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,K6025HFjosea,2019-06-05,2019-06-03,5.0,Playa perfecta,"Es una playa perfecta en todos los sentidos arena blanca ,agua limpia,servicios de todo tipo desde fuentes para lavarse hasta chiringuito con hamacas y aseos y actividades acuáticas y por si fuera poco una parte de la playa es naturista no se puede pedir más","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,ovitoa,2019-05-07,2019-05-03,5.0,Salvaje,Una de las mejores playas de la zona que además de ser muy salvaje cuenta con múltiples servicios en temporada estival. Mi preferida sin duda.,"Lugo, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,jlorozcog,2019-04-28,2018-08-03,4.0,una playa preciosa en descenso,"Cuando la conoci era el paraiso del levante, Ahora esta masificada al máximo. Una pena. Apenas hay sitio muchas veces. Solo faltaria que pusieran motos acuaticas...","Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,mariogM8121ZR,2019-04-21,2018-08-03,4.0,De las mejores playas en la provincia.,Esta es una de las mejores playas de toda la provincia. Apta para el baño y para realizar diversos deportes. Con muy buenos chiringuitos.,"Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,viajaconSandra,2019-01-26,2019-01-03,4.0,Preciosa ,"Estupenda playa muy amplia arena fina aguas muy calmas le falta zona de aparcamiento, se está construyendo mucho en los alrededores y no hay sitio para aparcar de tanta gente que llega a Arenales","Pozuelo de Alarcón, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,mavima1953,2019-01-15,2018-08-03,4.0,Buena playa,"Aunque no es muy conocida salvo cerca de la zona,hay que decir que debe dársele publicidad por su agua limpia y arena blanca y suelta. Agradable baño en verano.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Footprints448736,2019-01-12,2018-06-03,2.0,Raro,"Como te gusta sitios raros exstremales es tuyo, eran muchos burachos i no me gustaria nada. Por esto dinero que pide se puedia ser un sitio mejor!",8 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,J4200LWlorenar,2018-10-23,2018-07-03,5.0,La playa perfecta,"Es una playa con todos los servicios y sin edificios, es un rincón natural donde puedes relajarte y disfrutar de sonido del mar sin que se mezcle ningún otro sonido, más que el del mar y las gaviotas.,... simplemente PERFECTA",28 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,angelasV1125PC,2018-10-02,2018-08-03,5.0,Fantástico,"Playa tranquila, amplia, de agua limpia con buenos accesos gracias a las pasarelas y buena temperatura del agua. Pudimos ver pececillos gracias a la trasparencia del agua",6 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,jgV3430NL,2018-10-01,2018-09-03,5.0,Tranquilidad.,"Ideal para compartir textiles y nudistas. Permite disfrutar tu día de playa, sin aglomeraciones, y no hay losetas para bañarse, dispone de todo tipo de servicios.",España,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,manuelbamo,2018-09-01,2018-08-03,3.0,Playa muy bonita pero la han masificado,"Conocía esta playa cuando era virgen y el acceso era penoso a través de las dunas...Era un lugar increible.
Ahora es una playa mas del litoral: han hecho acceso con pasarelas y dunas y acuden de todas partes con sus coches aparcando en cualquier sitio, cerrando accesos y salidas, márgenes de la carretera...etc. Una pena y encima sin control de la policia...Cada uno hace lo que quiere.","Alpedrete, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,F9495,2018-08-30,2018-08-03,5.0,"Un trocito del paraíso, en la tierra","Playa semivirgen, que gracias a las actuaciones que se han realizado por parte del ayuntamiento de Elche, al instalar hace años pasarelas de madera, para acceder a la playa y eliminar el caos de circulación y estacionamiento en el lugar; así como por parte del ministerio al acotar parte de la misma, se está consiguiendo poco a poco que esta playa cada vez sea mejor y que ya lo era anteriormente. Limpieza de agua y arena. Juegos de playa, chiringuitos para disfrutar, y un largo etc.
Lugar y entorno fuera de lo común.
Un trocito del paraíso en la tierra.",15 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,331Ana,2018-08-25,2018-08-03,5.0,Todo un descubrimiento ,"Preciosa playa casi virgen, el paisaje es precioso y el agua transparente. Para nosotros ha sido un gran descubrimiento. Volveremos!!","Huesca, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,P550HEjuang,2018-08-21,2018-08-03,5.0,Vacaciones,Es una playa muy estensa hay sitio para todos testiles y naturistas con mucho respeto para todos en una palabra espectacular,"Alcorcón, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,javiermur1974,2018-08-19,2018-08-03,5.0,Playa nudista carabassi,Somos una pareja es muy buena playa vamos a estar hasta el sábado 25 de agosto nos gustaría conocer alguna pareja que le guste el mundo liberal,"Cehegín, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,bululub,2018-08-18,2018-08-03,3.0,Bien,"Es una playa bonita, muy amplia, algo sucia, y con pocas actividades que realizar (para hacer algo más que tomar el sol y entrar al mar) en una área cercana a ella. Los lugares para estacionar el coche están bien y los accesos son fáciles. Yo fui a mediados de mayo y no es la mejor fecha ya que corre mucho viento y aún hace algo de frío. Por lo demás la playa está bien, parece muy segura sin más complicaciones.","Benidorm, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,antoniog273,2018-08-16,2018-08-03,5.0,La mejor de la zona,"La única con bandera azul (mejores playas de España) y eso se nota. Limpia, con unas pasarelas de madera para acceder distintas parte de la playa, aparcamientos amplios, agua inmejorable. Para nosotros fue todo un descubrimiento.",madrid,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,pebelcita,2018-08-11,2018-07-03,5.0,Muy bien ,"Sin aglomeraciones, buena playa para los niños, tranquila y sin peligros. La arena limpia y el mar tranquilo. Lo hemos pasado muy bien.",Alcalá de Henares,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,PedroM1442,2018-08-07,2018-07-03,5.0,Bandera Azul,"Se trata de una playa limpia, muy accesible, con acceso para minusválidos y zonas de aparcamiento. Arena limpia y no pegajosa. Una playa 10, de los mejor de la zona.",67 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,AlvarezA,2018-07-24,2018-07-03,4.0,Buena opción,Es una playa que está muy cerca del núcleo urbano. Hay mucha gente pero al ser tan extensa siempre encuentras hueco. Aparcar cerca es complicado pero hay un parking público gratis enorme. Agua limpia y ambiente familiar.Recomendable.,"Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,janortes,2018-07-24,2018-07-03,5.0,Con los años mejora!!!,"Cada año los servicios que presta los chiringuitos de la playa son mejores y se hace más agradable la estancia. Playa limpia donde poder disfrutar de la arena y el sol. Por una parte son buenas sus mejoras en cuestión de accesos, limpieza, servicios etc pero por otra es malo dado que cada vez se está masificando más...pero bueno no hay mal que por bien no venga porque aún encuentras sitio!!!","Alicante, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Alma_Insecta,2018-07-19,2018-07-03,5.0,No hace falta irse al Caribe,"Playa con arena limpia y clara, y de agua calmada y bastante transparente. Muy recomendable para ir en familia, amigos o pareja.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,cely2016,2018-07-11,2018-07-03,5.0,Buenísima Playa,"Para mi es muy buena playa
Me encanta
Cada vez que puedo voy
Ánimo a la gente que vaya y lo vea
No te arrepentirás","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,AlbertoG898,2018-06-26,2018-06-03,4.0,Gran playa ,Playa limpia y muy grande donde disfrutar de una mañana o tarde de playa. Se puede aparcar bien en cualquier zona habilitada aunque para llegar a la playa hay que andar un poco ya que hay una zona de dunas. La playa es grande y no hay grandes agobios. El agua estaba muy bien y transparente.,"Albacete, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,i_igor810,2018-04-08,2018-03-03,5.0,Preciosas,"Preciosa playa rodeada de dunas. Es una playa salvaje y a su vez cercana a centros urbanos, por lo que es fácil de acceder por coche o dando un paseo.
Totalmente recomendable.",112 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Rafael5404,2018-03-05,2017-07-03,5.0,"Playa de agus transparentes, rodeada de dunas.","Se trata de una de las playas preferidas de los ilicitanos, playa de aguas cristalinas y transparentes, con arena fina y dorada y con oleaje moderado y zona habitual de algas muy deseadas por los naturistas.
Dispone de una zona señalada para los nudistas.","Alicante, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,homerr2016,2018-01-23,2017-12-03,5.0,Excelente playa natural ,"Una playa limpia y grande, con bonitas dunas y llena de buena arena, se puede disfrutar de diversas actividades acústicas, también tiene una zona para practicar el naturismo, y una zona de arriba en el acantilado con urbanizaciones espectaculares con todos los servicios.","Barcelona, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,L6958EHmiguela,2017-11-06,2017-07-03,5.0,Una playa excelente,"No es necesario ir al caribe para disfrutar de playas magníficas. Dentro del término municipal de la ciudad de Elche, podemos encontrar verdaderas playas, como: El carabasi, Arenales del Sol, El poner, El Altet, La Marina, El Rebollo, que no tienen nada que envidiar a las de los paises tropicales.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Zara1982,2017-11-06,2017-09-03,4.0,"Bonito, dunas, para mi : mejor ir fuera de temporada alta. Tranquila","En pleno agosto difícil aparcar. Una de las mejores playas cerca de Alicante capital. Apartada de la ciudad, tranquila,tiene Justo una montaña que se tiran en parapente. Se disfruta de las vistas de la montaña tan cerca del agua y ver surcar el cielo a los qué se tiran desde arribs","Provincia de Alicante, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,joseantoniob439,2017-11-05,2017-07-03,5.0,Para mi la mejor de la provincia y de las mejores de la comunidad.,"Arena agradable, agua limpia, chiringuitos con música, camas balinesas, actividades acuáticas y muy buen ambiente, sobre todo las tardes de verano.","Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,m3manuel,2017-10-22,2017-08-03,4.0,"Es una zona de dunas, muy bonita esta playa","Por el día puedes bañarte y cuando no da tanto sol, pasear adentrandote por las dunas, son pequeñas, no como las del sahara, pero cuesta mucho andar. Si vais cuidar el entorno y no dejeis basura.","Alicante, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,viajaconSandra,2017-10-12,2017-10-03,4.0,Excelente ,"Preciosa playa, arena fina y clara. Amplia, con pasarelas para bajar comodamente.
Bares, diversión asegurada y un mar increible","Pozuelo de Alarcón, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,Aililles,2017-09-22,2017-08-03,5.0,Mi playa,"No soy su dueña, pero la conozco desde la infancia. La urbanización del litoral la ha masificado. Tiene unas aguas cristalinas, y es muy agradable el entorno. Sus dunas más pequeñas que antes siguen ahí. Se ha puesto un pasillo de madera para impedir su degradación. Muy agradable",5 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,javiermur1974,2017-08-28,2017-08-03,5.0,Vacaciones,Ya conocíamos el sitio de estar algunas veces y este año decidimos ir de vacaciones la playa increíble te enamoras de ella estamos deseando de volver practicamos el nudismo y naturismo por lo que vamos a la zona nudista que es la que nos gusta más tranquila y gente muy respetuosa y agradable sólo nos quedemos con una duda que por pudor no quisimos preguntar a nadie pero nos gustaría saber si van parejas liberales ya que nosotros lo somos y nos gustaría conocer y hacer nuevas amistades. Gracias por todo y recomiendo la playa a todo el mundo.,"Cehegín, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,CHeMiCaL_Beats,2017-08-24,2017-08-03,4.0,Enorme.,"Es una playa muy larga, depende de donde vayas encontrarás unas cosas u otras, zonas más llenas, más desocupadas, zona de nudismo... Para llegar hay que andar buenos tramos sobre pasarelas, la arena es finita, hay socorristas, servicios de hamacas, sombrillas, etc...","Alcalá de Henares, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,728javierg,2017-08-22,2017-08-03,5.0,Excepcional playa semisalvaje,"Es una playa libre, en la que conviven nudistas (los menos) con todo tipo de bañistas, rodeada de dunas con escasa vegetación mediterránea. Hace unos años se restringió el acceso del tráfico, y esto ha contribuido a mejorar la preservación de su identidad silvestre.",116 aportes,38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,CHUSCHF,2017-08-13,2017-08-03,5.0,Magnífica convivencia naturista y textil,"Playa muy bonita, arena fina agua muy limpia y poco honda
Ideal para mantener el entorno de dunas hasta alcanzarla las pasarelas de madera adaptadas
Zona de tumbonas y camas y chiringuito","Barcelona, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,kooolo,2017-08-12,2017-08-03,4.0,agradable dia en familia,"Playa en general bastante limpia, con aguas calientes donde haces pie hasta muy adentro del mar, ideal para niños, llama la atención que se pueden poner carpas grandes en la arena, antes iba menos gente pero ya empieza a ser complicado donde poner la carpa si llegas un poco mas tarde de la cuenta por lo que recomendable ir temprano, ideal para familias y para pasar el dia","Sabadell, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,raymundo1970,2017-08-12,2017-08-03,5.0,Impresionante playa,"Es la playa nudista más impresionante que conozco. Arena fina y rodeada de dunas. Por otro lado se percibe que los que la visitan son naturistas de pro, familias con niños, parejas... Un ambiente con unas vistas y una playa de ensueño. Mi única queja, este club de naturistas, o como los queráis llamar, que se saltan las normas por el forro. Son los primeros que levantan el puño y gritan peace, me refiero a los que se llevan a los perros. Esta playa por muy salvaje e idílica que sea no es para perros. Sin comentarios... Los dueños necesitan formación cívica. La playa tiene acceso con una pasarela de madera. Como os he comentado, una playa nudista excelente.","Alicante, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,AlfonsoChR,2017-08-03,2017-08-03,5.0,Una playa virgen que nos lleva al Caribe ,"Excelente play virgen, con un estilo que recuerda con ello a las caribeñas en la costa Alicantina. No hay apenas chiringuitos para comer sí servicios de sombrillas, mesas y hamacas.
Precios de bebidas razonables 2-2,5€ refrescos y cervezas.
Playa tranquila muy llena en fines de semana pero muy tranquila y una maravilla en mayo, junio y septiembre.
Perfecta para familias y parejas, mucho extranjeros vienen a disfrutarla.","Madrid, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,lauragandia92,2017-07-14,2017-07-03,3.0,Siempre lleno de gente,El sitio es encantador y voy desde pequeña. Pero en Verano siempre está lleno de gente. Los domingos no se puede ni respirar. Recomiendo a la gente de fuera que venga entre semana y a partir de Septiembre.,"Elche, España",38.24039077758789,-0.5147629976272583,es
Playa El Carabassi - Elche,8399005,atracao-review,ManuelR184,2017-07-13,2017-07-03,4.0,Todo ok menos los perros (no es un sitio adecuado paraellos).,"La playa merece la pena. Es una playa nudista en la que una familia no se sentirá ni desplazada ni fuera de lugar.
Lo único que no me gusta es el poco control que se hace de que en esta palaya haya gente que vaya con su perroy lo deje suelto (para ello ya hay otras playas en las inmediaciones).
Insisto en que el ayuntamiento de Elx debería de controlar de forma efectiva la presencia de perros en las playas en los que no están permitidos.",39 aportes,38.24039077758789,-0.5147629976272583,es
