estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,idioma
Pousada Villa Severina,12281494,hotel-review,DaniloCoelho3101,2019-07-24,2019-03-24,5.0,Excelente local para descansar!,"Local muito aconchegante. Redário muito agradável, piscina ótima, ótimas opções de jantar cobrados a parte. Os chalés tem camas bem confortáveis. O acesso para a pousada é em uma estrada de terra que deixa o passeio ainda melhor. Recomendo.",indef,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,analA8556RB,2019-07-24,2019-01-24,5.0,Tranquilidade ,"Lugar lindo, pousada super agradável, aconchegante. Com a vantagem de ter restaurante que oferece todas as refeições, não precisamos sair de lá. E a companhia da Severina com sua alegria e disponibilidade. Adoramos. Nós somos a Ana e o Rigo.",Viajou em casal,"Nova Lima, MG",pt
Pousada Villa Severina,12281494,hotel-review,JocaPrado,2019-06-24,2019-06-24,5.0,Excelente pousada,"Passamos o feriado de Corpus Christi na pousada e foi uma excelente escolha, o quarto é muito limpo, a equipe do hotel é muito atenciosa e arrumou o quarto todos os dias, toalhas sempre trocadas. Local com decoração rústica sofisticada, o café da manhã é completo e muito bem servido, não há o que reclamar. Os proprietários da pousada (Dona Severina e Paulo) são muito atenciosos, verdadeiros anjos na terra, desejo a eles muito sucesso neste empreedimento, assim que possível voltaremos. Recomendo!",Viajou em casal,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,778fernandas,2019-04-24,2019-04-24,5.0,Excelente estadia!,"Chegamos de madrugada porque nosso voo atrasou (eles nos ligaram a noite para saber se estava tudo bem) e fomos muito bem recebidos, com um quarto lindo e limpinho nos esperando. Quando acordamos a vista era incrível e nada menos fomos surpreendidos por um abraço da dona Severina no café da manhã. A pousada é charmosa e é a carinha de minas, superrrr silenciosa para dormir (e cama é king maravilhosa). Passamos dois dias muito agradáveis! Recomendo muito.",Viajou em casal,"Curitiba, PR",pt
Pousada Villa Severina,12281494,hotel-review,gab_photographer,2019-02-24,2019-02-24,5.0,Excelente Acomodações e Atendimento.,"Primeiramente, a recepção do Hotel é incomparável aos que me hospedei no Brasil. Os proprietários nos aguardaram até muito tarde da noite, nos auxiliando no caminho até a Pousada. Os quartos são amplos com pé direito alto proporcionando ambiente fresco e agradável. Os banheiros são limpos e confortáveis. a Decoração em geral do Hotel e dos Quartos excelente. O café da manhã variado com opções naturais e pratos feitos na hora, conforme necessidade do hóspede. A vista das montanhas é incrível e piscina maravilhosa. Recomendo o Hotel, principalmente, se quer descansar e ser bem atendido.",Viajou a trabalho,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,SassaPires,2019-01-24,2018-11-24,5.0,"Bonito, limpo e em conta!","Lugar para desestressar. Curtir a natureza e contemplar a paisagem. Os chalés bem aconchegantes também podem convidar a namorar. Mas o importante é que o café da manhã é bem servido, com um queijo maravilhoso! Que os quartos são super limpos. E os donos são bem atenciosos. Parece até da família! É um pouquinho afastado de Inhotim? Um pouco! Mas é um lugar diferenciado! Gostei muito!",indef,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,rogeriocb7,2019-01-24,2019-01-24,5.0,Tudo de bom,"Lugar top 10,para quem quer descansar de verdade chalés 05 estrelas, comida de qualidade, funcionários super atenciosos. Preço dentro do que oferece , natureza , água, espaço privacidade, muito verde .",Viajou com a família,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,Stefanomtb,2018-12-24,2018-12-24,4.0,"Uma jóia escondida no vale do Paraopeba, aos pés da Serra da Rola Moça","Lugar maravilhoso, com ótimas instalações, uma piscina com vista para a Serra . Possui um restaurante com ótima comida , vinhos e cervejas artesanais a preço justo, funcionando até às 22h00. A receptividade da D. severina e Sr. Paulo encantam. Os funcionários também muito atenciosos e prestativos. Vale a pena!",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,drezzzo,2018-11-24,2018-11-24,5.0,Um lugar encantador,"A Pousada Villa Severina, sem dúvidas, foi uma surpresa encantadora.
A simplicidade, gentileza e cuidado de todos os funcionários, sempre preocupados em atender da melhor forma possível, abrilhanta um lugar cheio de belezas naturais em um espaço rico em detalhes.
Um lugar extremamente limpo, organizado com um café da manhã cheio de delícias com um pão de queijo quentinho genuinamente mineiro. Os jantares sempre com pratos fartos, bem feitos e muito saborosos.
A habitação é incrível, chalés novos, com camas espaçosas e confortáveis, banheira nova e relaxante, além de uma iluminação linda que deixa o quarto num clima muito especial.
Dona Severina é uma pessoa encantadora, recebe a todos com muito carinho e nos faz sentir no aconchego da nossa própria casa.
Seguramente indico este local para todos aqueles que querem viver momentos especiais e inesquecíveis!",indef,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,LeticiaCordrosa,2018-11-24,2018-11-24,5.0,Sossego e paisagem,"Fiquei hospedada com o marido entre quinta e domingo para visitarmos o Inhotim sexta e sábado. A pousada tem acesso relativamente fácil pela BR040 a partir da entrada que dá acesso à rampa de vôo livre de BH também conhecida como Topo do mundo (visual lindo, vale esse pequeno desvio no caminho pra apreciar a vista). É o tipo de lugar muito bonito, bem conservado, com quartos amplos e confortáveis (os travesseiros poderiam ser melhores, mais macios), com cama king, banheiro limpo e novinho, com chuveiro tipo ducha à gás, ou seja, água quente pra quem gosta e com pressão. A paisagem é incrível, a área de restaurante e piscina é linda e confortável. Os donos Paulo e Severina sempre disponíveis e gentis, os funcionários igualmente solícitos e agradáveis destaco o Hebert que nos atendeu muito bem. O restaurante é bom, têm boas opções de refeição e possuem carta de vinhos. Como nossa intenção era mais focada no pernoite não aproveitamos a piscina que é a opção de lazer da pousada. O trajeto até Inhotim é fácil, asfaltado e demora quase 1h o que torna a volta um pouco cansativa visto que a caminhada no parque é intensa. O café da manhã da pousada com pão de queijo quentinho e sucos de fruta fresca nos agradou bastante, mas por começar a ser servido às 8h perdemos um pouco de tempo de visitação no parque que abre às 9h30 (como nos programamos pra 2 dias de visita não fez tanta diferença).",Viajou em casal,"Rio de Janeiro, RJ",pt
Pousada Villa Severina,12281494,hotel-review,MoniqueR500,2018-11-24,2018-10-24,5.0,Ótimo ,Quarto espaçoso. chuveiro maravilhoso. Cama Grande e super confortável. Espaços comuns bem legais. Vista linda. Comida boa e com preço justo no restaurante da pousada. Proprietário e funcionários atenciosos. Local ideal p relaxar,indef,"Angra dos Reis, RJ",pt
Pousada Villa Severina,12281494,hotel-review,AlineFM88,2018-10-24,2018-10-24,5.0,Uma das melhores!!,"Uma das melhores pousadas que já conheci.
Além de linda, com a vista perfeita, super limpa e organizada.
Banheiro, chuveiro e cama são excelentes.
O senhor Paulo e sua equipe são muito atenciosos, receberam eu e meus amigos super bem e com o maior carinho.
As refeições são ótimas, cervejas bem geladas e variedade.

Super indico e com a maior certeza voltarei.

Obrigada por ajudar a tornar meu aniversário um dia inesquecível...",Viajou com amigos,"Juiz de Fora, MG",pt
Pousada Villa Severina,12281494,hotel-review,ricardolX9400WK,2018-09-24,2018-09-24,5.0,Melhor hospedagem Inhotim,"Diante de todas as opções existentes para hospedagem para quem vai a Inhotim, a Villa Severina foi a melhor disparada que encontramos! Fomos em casal e queríamos uma experiência de natureza já que iamos pra Inhotim e foi ótimo porque a pousada fica localizada em uma região muito calma e tranquila. Para quem quer ficar mais próximo de Inhotim acaba escolhendo a opção de Brumadinho, mas certamente irá ficar em locais mais caros e simples, por isso optamos ficar em um local mais afastado porém mais aconchegante! A pousada fica a 40 min de carro de Inhotim, mas não é distante e a viagem até lá já é o início do passeio! Os quartos são bem completos, ficam em chalés independentes, com mobília nova e um rústico sofisticado! De fato não temos do que reclamar...a pousada ainda conta com uma piscina super gostosa, mas que não tivemos a oportunidade devido ao tempo! O café da manhã é excelente e pudemos já começar o dia com à vista do jardim cuidado pela dona Severina, e para o jantar ótimos vinhos indicados pelo Sr Paulo num ótimo custo beneficio! Super recomendamos hospedagem na Villa Severina, tivemos uma ótima passagem no feriado de 7/set e foi muito bacana estar em um local super bem cuidado e construído nos detalhes e zelado pelo casal dono que foram super atenciosos e fizeram nos sentir em casa!",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,fabricioe2013,2018-09-24,2018-09-24,5.0,Lugar espetacular,"Quando cheguei na pousada já senti a diferença pela receptividade dos donos da pousada, Sr Paulo e Dona Severina, que recebem hóspede por hóspede. A inteiração dos dois com os hóspedes é algo inexplicável que nunca passei em toda minha vida nos lugares que estive. Um carinho e uma atenção que é indescritível. Comida bem feita, parecendo comida caseira, café da manhã maravilhoso, quartos limpos e bem cuidados e um sossego maravilhoso. Local de fácil acesso e com estrada quase toda asfaltada, na chegada uns 200mt de estrada de chão que nem dá para perceber. Custo benefício vale super a pena é um ambiente extremamente familiar. Super recomendo, pretendo voltar em breve.",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,hugop503,2018-08-24,2018-08-24,4.0,Ótima pousada!,"Pousada no pé da serra! Quarto amplo e muito bem cuidado! Sem dúvida um dos melhores quartos de pousada dessa categoria que já visitei.

Restaurante com opções de bebidas, tiragosto e pratos principais. Preço justo.

Recomendo pra quem quer um lugar pra descansar próximo de BH! Possibilidade de visita ao Inhotim, apesar de não ser tão próximo.",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,A9912KAluiso,2018-07-24,2018-07-24,5.0,Lugar excepcional,"Sentimos uma extensão de nossa casa, pessoas maravilhosas, lugar deslumbrante e com cuidados especiais dos proprietários que não se cansam de tratar os hóspedes como pessoas e não como negócios. Voltaremos hoje é sempre.",indef,"Campinas, SP",pt
Pousada Villa Severina,12281494,hotel-review,Kehdi,2018-06-24,2018-06-24,5.0,POUSADA TOP NO TOPO DA MONTANHA ,"Tipo de pousada que nos deslumbra. A contar pelas acomodações, excelentes por sinal, pelas comidas servidas e, principalmente, pelo atendimento primoroso de seus funcionários e, claro, de seus proprietários, a Severina e o Paulo. Na chegada o hóspede já recebe as boas vindas com um café fresquinho e um bom queijo canastra. Bate-se um gostoso papo, pode-se conhecer um pouco da história de vida do simpático casal , para , depois, acomodar-se em um dos doze chalés do estabelecimento. Aliás, que chalés !!! Charmosos, confortáveis, amplos, limpos ao extremo , todos ainda cheirando a novos. Um capricho !!! O local é puramente bucólico, uma paz imensa . Ali também se pode fazer as refeições diárias, com excelentes e saborosíssimos pratos , idealizados carinhosamente pela Severina, além do gostoso café da manhã . Excelente dica de hospedagem para curtir o clima de montanha, como também para visitar Inhotim, distante dali pouco mais de 25 quilômetros. Show de pousada.",Viajou em casal,"Batatais, SP",pt
Pousada Villa Severina,12281494,hotel-review,antoniof964,2018-06-24,2018-06-24,4.0,"Aconchegante, pura tranquilidade, privacidade e com muita beleza natutal","Que lugar bacana para casais. Descanso e tranquilidade é o lugar ideal. Jardins muito bem cuidados, tem piscina e próximo de BH. A proposta de ter os chalés com certa distância de um dos outros trás uma privacidade muito grande, além de conforto, tudo muito novo e limpo. Ficamos em um chalé com hidromassagem e valeu muito a pena. A pousada tem restaurante,com opções de bebidas, petiscos e refeições para o almoço e jantar. Em termos de valores, tanto da hospedagem quanto da parte de bebidas e refeições, achamos os valores justos, e obra vale ressalvar que para o jantar e almoço os pratos e podiam ter uma quantidade maior.
Conhecemos os Sr. Paulo e. Sra. Severina: muito receptivos e simpáticos.
Por fim, pontos positivos: proximidade com BH, é fácil chegar pelo Maps ou Waze, pouca estrada de chão (para quem liga para isso), tudo muito novo, limpo, cama fantástica e a hidro também. Os funcionários são atenciosos, tem estacionamento dentro da pousada, extrema tranquilidade, ar puro. Ah, o checkin foi super rápido sem aquela chwtura de ficar preenchendo formulários.
Pontos negativos: pelo menos no chalé com hidro, não há uma porta que separa o banheiro do quarto. Por mais intimidade que haja entre o casal, utilizar o banheiro em alguns momentos exige certa privacidade. As refeições (não os petiscos) podem aumentar um pouco a quantidade.
Pontos de percepção variável: neste ponto destaco o que para mim não influenciou minha opinião, mas outros podem ter outra percepção e considerar em sua opinião: Wi-Fi só na área perto da piscina e restaurante. Não há Wi-Fi nos chalés. Dentro da proposta que era descansar não nos afetou. O 4G do celular não funcionou, embora conseguimos utilizar o celular para ligações normalmente. Para chegar aos chalés tem que subir terreno irregular, com caminhos indicados e iluminados, mas pessoas com dificuldade de locomoção devem observar isso. Exceto a piscina e opção de caminhar pelo jardim, não há atividades na pousada ou próximo dali. Logo se procura algo agitado e para crianças, não indico, pois lá é para descansar, curtir a natureza perto a cerca de uma hora de BH.
Nos hospedamos de sábado para domingo, via Booking no mês de junho. Estava frio e a pousada com pouco movimento.
Certamente voltaremos.",Viajou em casal,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,helenameyer,2018-05-24,2018-05-24,5.0,"Simpatia, conforto e beleza","Passamos duas noites na Pousada Villa Severina, e pretendemos voltar um dia! A pousada é muito agradável, no meio de um jardim super bem-cuidado, árvores lindas e uma vista de tirar o fôlego. Os chalés são novinhos, espaçosos e bem aquecidos (estava fazendo um friozinho). A comida do restaurante é simples, mas gostosa, e a um preço bem razoável. As pessoas que trabalham no hotel são gentis e solícitas. Nota-se em cada cantinho o cuidado dos donos, D. Severina e Sr. Paulo. E como se tudo isso fosse pouco, fomos recebidos com um imenso carinho e simpatia por eles, o que tornou a nossa estadia ainda mais agradável. Super recomendo!",Viajou em casal,"Salvador, BA",pt
Pousada Villa Severina,12281494,hotel-review,renatam557,2018-05-24,2018-05-24,5.0,Experiência deliciosa!,"O casal Paulo e Severina nos recebeu muito bem! A região é linda, as instalações da pousada também. O chalé em que ficamos era muito confortável, decoração legal. Jantamos duas noites na pousada e a comida era saborosa, preço justo. Apesar da distância até o Inhotim (motivo da nossa visita), vale muito a experiência no Villa Severina. Recomendamos e voltaremos um dia!",Viajou em casal,"Curitiba, PR",pt
Pousada Villa Severina,12281494,hotel-review,fernandajardim2002,2018-03-24,2018-03-24,5.0,Sossêgo e aconchego perto de BH ,"Aconchego, conforto, sossêgo, charme, tranquilidade e um cenário esplendoroso! Tudo isso reunido em um só lugar, com a receptividade ímpar de Paulo e Severina, juntamente com todo o staff da pousada. Boa carta de vinhos, com um cardápio gostoso e num preço justo. Pertinho de BH existe um paraíso!!! Vale a pena conhecer!",indef,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,jenneffert,2018-02-24,2018-01-24,3.0,"Boa, mas manejo com cliente deixa a desejar.","Quando estava na estrada, a caminho para a pousada, recebi uma ligação dizendo que uma peça da banheira de hidromassagem estava quebrada e que eu poderia ficar no quarto standard. Não se desculparam e nem ofereceram desconto. Foi injusto pois a peça quebrou com outra hóspede e esta foi realocada para outra suíte master. Eu havia feito a reserva há 3 meses. Pontos positivos: O café da manhã foi ótimo. A pousada é linda e a cama muito confortável.",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,127giselleg,2018-02-24,2018-02-24,5.0,Maravilhoso,"Destaque para o acolhimento dos proprietários que se estende aos colaboradores do local. Simpatia e simplicidade que me fizeram sentir como em casa, extremamente à vontade. Quartos limpinhos, bons lençóis, comida gostosa!!!",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,rcarlossantos,2018-02-24,2018-02-24,5.0,Espetacular,"Eventualmente em viagens pelo Brasil nos deparamos com um nivel de servico, comodidade, acolhimento espetaculares e desta vez eu e Alessandra nos surpreendemos com tudo isso que nos foi oferecido na pousada VILLA SEVERINA que eh de propriedade do Paulo e da Dna Severina, ambos pesssoas extraordinarias. E, passar um tempo com eles nos fez sentir parte da sua familia, tal o grau de envolvimento que ambos fazem questao de ter com seus hospedes, tratando individualmente das suas necessidades, sejam quais forem, para que tenham a melhor estadia possivel.
Para quem quer paz, tranquilidade e um atendimento de primeira, a pousada deles eh destino certo. O local, o conforto e o visual maravilhoso da Serra da Moeda valem a viagem.
O Paulo mantem um estoque de bebidas de primeira incluso uma pequena adega onde voce vai encontrar uma boa gama de rotulos e uvas a precos justissimos, cervejas especiais tambem estao no cardapio. A comida servida ala carte eh excelente. O buffet de cafe da manha eh completo: cafe, cha, leite, paes, bolos, queijos, frutas, ovos e por ai vai...
Funcionarios atenciosos e disponiveis a todo o tempo completam o pacote de beneficios e cordialidade da VILLA SEVERINA.

Retornaremos em breve eu e Alessandra para continuar a agradavel conversa com o Paulo e a Severina ate tarde da noite bebendo um bom vinho com eles!

Importante lembrar que a VILLA SEVERINA foi nossa base para visitar o MUSEU INHOTIN que eh lindo!

RECOMENDAMOS!",Viajou em casal,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,MarinaKD,2018-02-24,2018-01-24,5.0,Encantador,"A pousada Villa Severina é um lugar encantado na Serra da Moeda, entre Belo Horizonte e Brumadinho. Lugar perfeito para quem deseja visitar Inhotim. Os chalés são novos e muito confortáveis. Cama grande, Tv com canais pagos e chuveiro com bastante pressão! Os quartos não possuem ar condicionado, mas como a pousada fica no alto da Serra, não sentimos tanta falta (mesmo sendo verão). A piscina é perfeita, de onde é possível apreciar um maravilhoso pôr-do-sol e ter uma incrível vista da Serra. O café da manhã é muito gostoso, apesar de simples (sem tantas novidades). O bolo de milho é a melhor pedida. O restaurante da pousada atende muito bem que não deseja sair pra comer. Além do preço que é muito atrativo. Recomendo a porção de linguiça artesão com mandioca e o risoto de alho-poró. A Dona Severina, proprietária, tem uma energia incrível e te faz sentir em casa. Voltarei com toda certeza!",Viajou em casal,"Charlottetown, Canadá",pt
Pousada Villa Severina,12281494,hotel-review,SilvinhaRP,2017-12-24,2017-12-24,5.0,Pousada com gostinho da casa da gente.....,"Pousada muito gostosa, com uma receptividade fora do normal, limpeza excelente, tudo novinho. Paulo e Severina (proprietários) são pessoas maravilhosas, muito gentis, amáveis e acolhedoras.
Fizemos uma grande amizade com eles e, certamente, voltaremos lá para tomarmos um bom vinho olhando para o topo do mundo.
Recomendo....",indef,"Brasília, DF",pt
Pousada Villa Severina,12281494,hotel-review,ubiraci2014,2017-11-24,2017-11-24,5.0,Fim de semana pra relaxar,"Uma pousada que é um charme. Encrustada no pé da serra da moeda, com uma vista esplendorosa da montanha e do vale e um por do sol de tirar o folego. O atendimento não deixa nada a desejar, Muita simpatia e presteza dos funcionários e proprietários. Se você procura tranquilidade e romantismo este é o lugar. A culinária também surpreende e os vinhos são de muito bons.",indef,"Brumadinho, MG",pt
Pousada Villa Severina,12281494,hotel-review,767camilaz,2017-11-24,2017-11-24,5.0,Muito aconchegante! ,"Pousada novinha, muito bem cuidada e pensada nos mínimos detalhes! Cama confortável, quarto limpo e bonito. Jantamos lá, e tanto as entradas quanto os pratos principais são muito bem servidos! Risoto delicioso!",Viajou em casal,"Willesden, Reino Unido",pt
Pousada Villa Severina,12281494,hotel-review,hvmaz,2017-10-24,2017-10-24,5.0,Excelente!,"A Sra. Severina e Sr. Paulo são incríveis. O ambiente é aconchegante, os chalés são novos, camas king size. A piscina para refrescar no calor é perfeita. O café da manhã, bem servido, é uma delicia e o menu de refeições é bem completo, com opções vegetarianas (risotos e saladas). A vista das montanhas mineiras é linda. Detalhe importante é que Brumadinho tem uma área muito extensa e a pousada fica a 1 hora de carro de Inhotim, a estrada é tranquila, asfaltada e simples.",Viajou com a família,indef,pt
Pousada Villa Severina,12281494,hotel-review,JosianeSM,2017-10-24,2017-10-24,5.0,Se sentindo em casa,"Logo que chegamos, ja fomos muito bem recepcionados pela funcionária Fabiola e a dona Severina (seu marido Paulo chegou posteriormente e também nos recebeu muito bem). De cara ja nos sentimos em casa. Quarto aconchegante e espaçoso. Banheiro limpo, só o chuveiro que foi dificil achar a temperatura ideal, quando estava quente, ficava gelado sozinha inesperadamente, tive que ter paciencia para ir ajustando a temperatura sempre que isso acontecia. O espaço é lindo, tudo de muito bom gosto, novinho, limpo. Fica localizado um pouco longe do parque Inhotim, mas vale a pena para um dia de descanso em um lugar lindo, vista linda. Cafe da manhã excelente, melhor pão de queijo que ja comi. Atendimento excelente do Fabio no cafe da manhã. Lugar que não da vontade de ir embora. recomendo!",indef,"Campinas, SP",pt
Pousada Villa Severina,12281494,hotel-review,evandrovarella,2017-09-24,2017-09-24,4.0,Muito boa!,"Pousada simpática como os proprietários Paulo e Severina. Bons quartos com camas confortáveis, tv led , frigobar e ventilador de teto. Banheiros limpos. A vista da serra é linda. Café da manhã muito gostoso. Almoço e jantar a la carte não estão inclusos na diária, mas os preços são justos. Uma boa opção para se desconectar do stress da cidade ou para quem é de fora, como ponto de partida para Inhotim, casa branca e região.",indef,"Belo Horizonte, MG",pt
Pousada Villa Severina,12281494,hotel-review,gabrieldU6145RM,2017-08-24,2017-08-24,5.0,Magnífico lugar! A comida não te faz querer ir em bora!,"Pertinho do Topo do Mundo, pousada incrível, sussego garantido, chalés e jardins rústicos espectaculares, o tratamento dos Donos, Paulo e Severina bem como os funcionários são diferenciais que cativam os hóspedes! E a comida? Ahhh meu Deus, restaurante serve pratos com um sabor que te surpreende demais! Indico e espero voltar em breve!",Viajou em casal,indef,pt
Pousada Villa Severina,12281494,hotel-review,camilscat,2017-07-24,2017-07-24,5.0,"Lugar muito bonito, educação do Paulo, dono não tem preço ","lugar muito bonito, muito boa estrutura, afastada do centro de brumadinho, fizemos nossa reserva, e, pela distância, resolvemos não permanecer no local, o paulo aceitou que cancelariamos nossa reserva, e nos deu varias dicas de como fazer nossa visita no inhotim e onde nis hospedarmos mais próximo do local, obrigado paulo!",Viajou com a família,"São Paulo, SP",pt
Pousada Villa Severina,12281494,hotel-review,cristinad824,2017-07-24,2017-07-24,5.0,Pena que é muito longe do Inhotim,"Fiz a reserva e acabamos nao ficando, por ser muito longe do Inhotim, objetivo da nossa viagem. Mas, as instalaçoes sao boas e o lugar muito bonito. Agradeço ao Paulo, dono da pousada, pelas dicas, pela atençao e por ter entendido nossos motivos. Vale a pena voltar para ficar mais dias.",Viajou em casal,indef,pt
