estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_estadia,nota,titulo,conteudo,tipo_viagem,origem,latitude,longitude
"Hotel Canto do Chafariz",18719227,hotel-review,977andrezas,2019-10-18,2019-10-18,5.0,"Viagem especial...","Hotel bem localizado, principalmente para quem viaja a passeio. Seus quartos são amplos e bem equipados, com café da manhã maravilhoso, delicioso,com uma culinária mineira. Fica perto de tudo de bom que há na cidade,perto do Mercadão, do museu e da igreja matriz,que fica no centro.
Conta com uma equipe atenciosa definitivamente honesto ao que se propõe! A vista por sinal e maravilhosa..",indef,indef,-18.244367599487305,-43.597965240478516
"Hotel Canto do Chafariz",18719227,hotel-review,cleidec2013,2019-09-18,2019-09-18,5.0,"Maravilhoso","Paramos na frente do casarão imponente e fomos muito bem recebidos pelo Ricardo, que nos convidou para conhecer as acomodações. Ficamos encantados com a decoração do casarão antigo e o tamanho dos quartos e resolvemos ficar mais um dia em Diamantina e nos hospedar lá. Valeu a pena; bem localizado, café da manhã excelente, bom atendimento e ótimo custo beneficio.",indef,"Brasília, DF",-18.244367599487305,-43.597965240478516
"Pouso da Chica",3619350,hotel-review,FatyGraeff,2021-08-18,2021-08-18,4.0,"Hospedagem ótima, mas possui pontos a melhorar","Pousada com aquele clima de casarão colonial que te faz voltar no tempo. Ótima localização, pertinho do centro histórico. Cama e chuveiro excelentes, café da manhã simples mas muito gostoso, fazem omelete, ovo mexido ou tapioca na hora, o que adoramos! O estacionamento é longe, por isso optamos por deixar o carro na rua, que é bem tranquilo. Pontos negativos: o wifi não funciona na maioria do tempo. Ficamos no chalé 9, no primeiro dia ás 6 da manhã fomos acordados com um barulho que parecia que estavam jogando pedras no telhado, descobrimos que os passarinhos comem as frutinhas de uma árvore que fica acima dos chalés e quando a fruta cai em cima do telhado de policarbonato da varanda do chalé faz aquele barulho, fomos acordados todos os dias com os passarinhos tomando seu café da manhã rsrsrs. Sugerimos ao hotel que colocasem uma rede acima do telhado pra que as frutas não façam barulho ao cair.",Viajou em casal,"Porto Alegre, RS",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,CruzBH,2021-08-18,2021-07-18,5.0,"Excelente com um porém","Pousada excelente, muito bem localizada no centro histórico, não precisando de carro caso queira visitar os pontos turísticos do centro. Equipe muito atenciosa, sempre disponivel para o que precisar. Café da manhã honesto. Pousada tem todos os cuidados com o COVID. Fiquei no chalé e tudo perfeito, cama e colchão top, dormia maravilhosamente bem, banheiro e chuveiro sem defeito. TV funciona vários canais. Unico porem ficou por conta do Wifi que não funcionava bem e o estacionamento que fica a 3 quadras da pousada, acabei deixando o carro na rua. Mas voltaria a hospedar com certeza",indef,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,andreabC7373MG,2021-08-18,2021-08-18,5.0,"Agradável e bem localizado","Todos os cuidados durante a pandemia, o que é um alívio. A equipe é muito atenciosa e simpática, sempre prontos a atender a qualquer solicitação.
O apartamento em que fiquei, uma suíte fora da casa principal, é confortável na medida. Nada de excepcional, mas boa: bom colchão, boa roupa de cama, bom banho.
Café da manhã gostoso e bem servido.",Viajou em casal,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Iucianamello,2021-07-18,2021-07-18,5.0,"Charme, aconchego e história","Uma pousada cheia de charme e história! Fiquei hospedada no chalé! Aconchegante, limpo e com um chuveiro excelente! Café da manhã farto, com opções feitas na hora a gosto de hóspede. Destaque especial para a equipe muito amável e empenhada em tornar a estadia inesquecível! Voltaria sem dúvida!!!",Viajou com amigos,"Montes Claros, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,wlana,2021-01-18,2021-01-18,5.0,"Sossego e carinho","Localizado em um belo casarão barroco preservado , harmônico com a natureza mas modernizado em alguns itens que são fundamentais tornam a estadia nesta pousada muito acolhedor.
O staff são de uma gentileza e cuidado memoráveis.
A localização completa a perfeição do
Lugar.
Se forem a Diamantina que é uma cidade esplendorosa , avaliem ficar nesta pousada .",indef,"São Paulo, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,N6661QScamilac,2020-08-18,2019-09-18,5.0,"Romântica e muita privacidade","Fiquei hospedada com meu esposo achei a pousada muito romântica, completa em tds os quesitos de limpeza, localização, refeição, funcionários muito simpáticos e educados, vinho do bom, lugar fantástico.",indef,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,camilablancocals,2020-04-18,2019-11-18,5.0,"Perfeito","Pousada acolhedora, bem cuidada. Café da manhã maravilhoso. Vale a pena. A noite servem caldos que são uma delicia. O casarão antigo é um espetáculo a parte.
Funcionários educados e amorosos. Nós sentimos em casa.",indef,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,I7584DTadrianag,2020-02-18,2020-02-18,5.0,"Lazer","Pousada linda do século 18. Limpa, aconchegante, funcionários educados e localização ótima. A noite a pousada oferece um caldo aos hóspedes, q é delicioso! O Sr Bernardo , proprietário, conversa com os hóspedes dando dicas de passeios . Muito agradável ! Amei e indico a pousada!",indef,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Eliana127501,2020-02-18,2019-12-18,5.0,"Perfeita!","Pousada com excelente localização.
Acomodações muito confortáveis. Fiquei num chalé delicioso!
Nota mil para o staff! Todos sempre muito atenciosos, gentis e prestativos!
Vale muito a pena ficar aqui e curtir a espetacular Diamantina!",indef,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,danielbG8817KB,2020-01-18,2020-01-18,5.0,"Visita relâmpago","Passando por Ouro Preto ficamos uma estadia no Pouso da Chica. Casarão antigo e interessante, com móveis e acabamentos antigos contrastando com atuais. Localização privilegiada próxima dos melhores pontos turísticos da cidade que podem ser visitados a pé, pois o trânsito por lá é complicado. Recomendo a Pousada. Do nosso quarto a vista era fantástica da cidade e da montanha.",indef,"Novo Hamburgo, RS",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,martabpistelli,2020-01-18,2020-01-18,4.0,"Perto de tudo","Excelente opção em Diamantina. A pousada tem ótimas instalações, com quartos espaçosos e é muito perto do centro, dá pra ir a pé. Isso facilita muito, porque andar de carro nas ruas de pedra não é fácil! Café da manhã gostoso, embora com poucas opções. Destaque para os funcionários super atenciosos e muito bem informados sobre a história da cidade e de seus personagens.",indef,"Campinas, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Joao_Santana_07,2020-01-18,2019-12-18,5.0,"Impecável","Jamais imaginei que ficaria triste em ir embora de lá, pois tínhamos que continuar nossa viagem e sabia que não encontraria uma prestação de serviço que chegasse no mesmo nível do atendimento no Pouso da Chica. O povo mineiro já é sensacional por natureza, mas o pessoal da Pousada bate qualquer expectativa. Desde o serviço de recepção, cozinha, e administrativo. Literalmente fizeram nos sentirmos em casa. A arquitetura e decoração por si só já é são um charme, remontando a uma pequena vila colonial, com suas características peculiares. A Fabiana, dona da Pousada e seus funcionários, não medem esforços para atender e fazer você ficar com vontade de não querer ir embora, ou, no mínimo recomendarmos o lugar. Conforto, segurança e aconchego são coisas que você encontra por lá sim, além de um pessoal muito bacana fazendo as delícias na cozinha. Recomendo.",indef,"São João do Triunfo",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Ricardoseto,2020-01-18,2020-01-18,5.0,"Pousada magnífica. Superou minhas expectativas!","Pousada magnífica. Localizada a alguns metros do centro histórico. Devido a excelente localização o carro pode ficar no estacionamento. A maioria dos passeios podem e aconselho que sejam feitos a pé .
Em relação a pousada o quarto chalé número 12 e bem reservado e tem uma vista maravilhosa das montanhas que cercam Diamantina. O quarto é extremamente confortável e limpo. Cama ,toalhas e banheiro impecáveis. Funcionários extremamente educados e gentis com destaque para Adriana que nos atendeu com muita excelência e nos sentimos acolhidos e a vontade para desfrutamos ao máximo a estadia. Café da manhã maravilhoso , pães frescos e uma grande variedade, frios e frutas. Um desjejum digno de um nobre. A noite é servido um caldo como cortesia delicioso. Tudo muito bem cuidado. Parabenizo a todos pela excelência no atendimento e acolhimento.",Viajou em casal,"São Paulo, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,VanessaHanske,2020-01-18,2020-01-18,5.0,"Excelente opção ","Pousada bem centralizada ,perto de tudo, deixamos o carro na garagem e andamos tudo a pé. Lugar maravilhoso, limpo e aconchegante, roupas de cama impecáveis.
Ficamos no quarto 12 com uma varanda, com direito a uma linda vista e rede.
O café da manhã é excelente com uma boa variedade tanto de pães como frutas, no final da noite eles servem um caldo cortesia da pousada muito bom e saborosos.
O atendimento dos funcionários são magníficos, em especial da Adriana que foi muito solícita.",Viajou em casal,"São Paulo, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,carlasF8708GH,2020-01-18,2019-11-18,5.0,"Encantada","A pousada é um encanto. Os chalés são bem equipados, chuveiro com temperatura regulável e indicações claras de funcionamento, tudo muito limpo e bem cuidado. Servem um delicioso caldo à noite como cortesia aos clientes. Pretendo voltar a passeio.",Viajou a trabalho,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,anizia_cordeiro,2020-01-18,2019-05-18,5.0,"Ótima pousada!","Já me hospedei duas vezes.
Muito aconchegante e confortável.
Funcionários educados.
Ótima localização.
Ótimo café da manhã.
Tem um caldo servido à noite que é delicioso.
Eu e minha família adoramos.
Super recomendo!",indef,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,423cristianed,2020-01-18,2020-01-18,5.0,"Linda, cheia de arte e aconchego!","A pousada tem vários chalés, confortáveis, agradáveis. Muito bem ambientada com objetos de época. Alguns bons cantinhos pra relaxar e contemplar. Adorei o clima do lugar. Não tem luxo mas tem estilo e aconchego.",Viajou com a família,"Celebration, Flórida",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,valderezparolin,2019-10-18,2019-09-18,5.0,"Simpático e agradavel","Muito boa a nossa estada neste hotel, casa reconstituída, atendimento de primeira, café da manhã excelente, caldinho à noite de cortesia. Quartos limpos e banheiro espaçoso, box com dois chuveiros. Realmente me surpreendeu este hotel.",Viajou com amigos,"Campo Largo, PR",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,680vanderleiac,2019-09-18,2019-06-18,4.0,"Pousada bucólica","Hospedei-me nesta pousada em jun/2019 com meu marido para assistirmos a Vesperata. Uma surpresa agradável ao chegar na pousada e ser recebida por funcionários tão gentis. O quarto ficava bem em cima da cozinha, o que me incomodou um pouco, porque o piso era de assoalho, mas o conforto da cama, as boas toalhas e o ótimo café da manhã pude desfrutar de um fim de semana maravilhoso. Voltaria a me hospedar nesta pousada novamente! Ah, todas as noites a pousada serve um caldo de cortesia.",indef,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Cibelli_Rosa,2019-08-18,2019-08-18,4.0,"Uma delicia de hotel.","Hotel charmoso no centro histórico de Diamantina, muito bem localizado, ocupa um casarão antigo restaurado com diferentes tipos de acomodações. Caldos servidos diariamente no início da noite são um diferencial fantástico. Café da manhã farto repleto de quitandas locais: delicia!",Viajou em casal,"Sorocaba, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,MonicaF459,2019-07-18,2019-06-18,5.0,"Lugar gostoso, pessoas carinhosas e perfeita localização","Fomos, eu e minha familia, passar um fim de semana prolongado de quinta a segunda. Nossa viagem espetacular começou nos hospedando no Pouso, Lugar aconchegante.
Pessoal da cozinha nota 100000000. Todo dia pela manhã sorrisos carinhosos, café da manhã delicioso. Nos sentimos como estivessemos hospedados na casa de grandes amigos.
Todos da recepção são de uma atenção indescritível. Sempre disponíveis para qualquer pedido. Digo isso porque minha irmã quebrou o pé na vespera e foi com cadeira de rodas.
TODOS nos acolheram e ajudaram sempre. OBRIGADO",indef,"Rio de Janeiro, RJ",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,alesmiki,2019-06-18,2019-05-18,4.0,"Pousada charmosa, confortável e muito bem localizada","* Funcionários muito atenciosos.
* Pousada em um edifício histórico lindo, muito bem decorado, conservado e bem localizado, no centro e próximo de tudo.
* O chalé 05 é super confortável e limpo. No entanto, algumas coisas podem melhorar: O ralo entupia constantemente e ocasionava acúmulo de água no banho. Presença de bolor e teias de aranha no forro. Falta de ventilação a noite quando as janelas tinham que ser fechadas, o que tornava necessário ligar o ar condicionado mesmo em noites frias. Ausência de folheto com o preço dos produtos no frigobar. Fui surpreendida pelo preço da garrafinha de 500 ml de água no fechamento da conta, sendo R$ 5,60 cada.
* O caldo servido todos os dias é muito bem vindo, visto que as noites são frias e os passeios que fizemos durante o dia são cansativos. Nada melhor que tomar uma sopa quentinha e dormir cedo para se preparar para o passeio do dia seguinte.",Viajou em casal,"Mogi das Cruzes, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,edinor3,2019-05-18,2019-05-18,5.0,"Experimente o clima do sec. XVII","Gostei! Bem localizada, com um atendimento VIP. Delícia de café da manhã e caldos a tardinha feito no fogão a lenha. Não usei ar condicionado, senti a brisa do ar na janela. O barulho?Nada, no início da noite, ouvi música vindo do conservatório ao lado da minha janela. Perto de tudo. Adorei! Muito bom gosto na decoração, limpíssima. Toda bem cuidada. Vale a pena. Para acrescentar a Júlia, uma gatinha preta com olhos verdes.(ver a foto)",Viajou sem companhia,"São Paulo, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,janinemr,2019-04-18,2019-04-18,5.0,"Semana Santa ","Pousada excelente. Ótima localização. Funcionários super atenciosos e prestativos. Estacionamento. Quarto no casarão excelente. Fui com meu marido. Filho de 6 meses e Minha sogra. Amamos! Voltares. Indicamos.",Viajou com a família,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Jacque489,2019-04-18,2019-04-18,5.0,"Aconchegante!","Adorei! Bem localizada, com um atendimento VIP. Delícia de café da manhã e caldos. Melhor ar condicionado que já vi. Não fazia barulho. Perto de tudo. Adorei! Muito bom gosto na decoração, liompíssima. Toda bem cuidada. Vale a pena.",Viajou com a família,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,hugobalthazar,2019-03-18,2019-03-18,5.0,"Estadia de muita qualidade em Diamantina","O pouso da chica foi sensacional. A pousada conta com uma decoração rústica de muito bom gosto. Os funcionários são extremamente atenciosos e o café da manhã é sensacional. À noite, fica disponível um caldinho que é uma delícia. Super recomendo!",indef,"Guaratinguetá, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,andreaneis,2019-03-18,2019-01-18,4.0,"Lindo lugar","Estivemos no reveillon deste ano lá, cidade tranquila, mesmo sendo virada de ano. A pousada embora seja numa casa antiga, histórica não deixa a desejar em nada em termos de conforto, acolhimento. Funcionários atenciosos e dedicados.",Viajou em casal,"Salvador, BA",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,smtri22,2019-02-18,2019-02-18,5.0,"Acolhedor","Pousada muito bem localizada, funcionários atenciosos nos deram todas as dicas de passeios e restaurantes, os quartos são confortáveis, e uma sopa maravilhosa é servida todas as noites para os hóspedes, imperdível. Quando voltarmos a Diamantina, vamos nos hospedar no Pouso da Chica. Recomendo 100%.",Viajou em casal,"Rio de Janeiro, RJ",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,mariperillo,2019-02-18,2019-02-18,4.0,"Boa Pousada","A pousada é muito bonita, bem
decora (a moda mineira) e o atendimento é muito gentil. Falta um pouco de cuidado com a roupa de cama (nosso lençol
Estava rasgado) e com o quarto. Achei pouca a iluminação do quarto, o que deixa o espaço escuro.
Ficamos em um chalé muito aconchegante, mas me parece que há também quartos simples na casa.
O café da manhã é bom, simples e com o essencial",Viajou em casal,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,pedrod424,2019-02-18,2018-09-18,5.0,"Vontade de voltar sempre","A estadia superou as expectativas, em função da limpeza e funcionalidade das instalações, mesmo se tratando de um imóvel antigo e tombado pelo patrimônio.
Ficamos nos quartos na casa da frente, um pouco barulhentos em função do trânsito.
Destaque para o atendimento de todos os funcionários, a qualidade do wi-fi e a fartura e variedade do café da manhã.
Mesmo em uma cidade de ladeiras, a distância ao miolo do centro (400m) não é um fator negativo, considerando as demais vantagens como a vista e o sossego.
E em setembro ainda pudemos nos deliciar com os pés de jaboticabas carregados, enfeitando a área dos chalés.",Viajou com amigos,"Niterói, RJ",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,EduM468,2019-02-18,2019-01-18,5.0,"Pousada linda e aconchegante","Muito bom atendimento, os chalés lindos, funcionários receptivos e educados, ar condicionado split muito bom, os jardins muito bem cuidados, limpeza excelente dos quartos, casarão restaurado muito lindo. Enfim, tudo muito confortável. Muito bom café da manhã, mas fica a dica: o café deveria mais variado.",indef,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,MireilleCar,2019-01-18,2019-01-18,5.0,"Charme e conforto!","Equipe de atendimento excelente dos recepcionistas. Lugar lindo, amplo, arejado, confortável!
Casarão antigo todo restaurado, banheiro com duas duchas.
Café da manhã mt bom, todos os dias um pão caseiro diferenciado.
Caldos saborosos no fim da tarde para vc forrar o estômago antes de sair.
Localização esplêndida, perto dos principais pontos turísticos mas muito tranquilo á noite, descanso garantido. Pretendo voltar para assistir uma vesperata!",Viajou em casal,"Goiânia, GO",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,sergiobrandao7023,2019-01-18,2019-01-18,5.0,"Ótima hospedagem!","Antes ainda de conhecermos a cidade, o que determinou nossa escolha por esta pousada foi a oferta de ar condicionado (acho que a única na cidade com todos os quartos equipados). E, chegando lá, só tivemos gratas surpresas que acabaram justificando o valor de diária acima da média na cidade. Quartos amplos, bem iluminados, limpos e confortáveis (no nosso banheiro, inclusive, o box tinha dois chuveiros, como podem ver na foto). Além dos quartos no casarão, ainda tem os chalés na área grande dos fundos. Café da manhã muito bom, num salão bem acolhedor e com visita, inclusive, de passarinhos à caça de migalhas de pão (um entretenimento à parte!). A localização é excelente: dentro do centro histórico e próxima aos principais pontos turísticos e às igrejas. Só optamos por ir de carro à Casa de Juscelino e ao Passadiço da Glória (na mesma manhã) por causa das ladeiras muito íngremes, nesses dois casos, somadas ao forte sol que fazia. Ao final do dia, entre 18h e 20h, a pousada oferece uma ou duas opções de caldos/sopas self-service, no fogão a lenha, como cortesia (canjiquinha, inhame, abóbora, mandioca, caldo verde). E destaque especial para o atendimento dos funcionários, principalmente das mulheres da(s) cozinha(s) e dos super solícitos Fábio, Rodrigo, Luís Gustavo e Marco, que se revezavam na recepção e nos deram valiosas dicas sobre como aproveitar Diamantina e seus arredores! Portanto, se seu orçamento de viagem permitir um investimento maior em hospedagem, não hesite em ficar no Pouso da Chica. Acho que não tem como se arrepender!",Viajou com a família,"Rio de Janeiro, RJ",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,alanrJ7762WN,2019-01-18,2019-01-18,5.0,"Maravilhoso","Quarto espaçoso, funcionários incríveis e ambiente sensacional. Caldo a noite uma delícia. Quero voltar em Diamantina e me hospedar de novo lá. Adorei a experiência.
Estar em um casarão do século passado, com passado e histórias a serem contadas pelos próprios funcionários foi outro diferencial. A localização também é um ponto alto... perto da vida noturna e diária de diamantina.",Viajou com a família,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,B5722JMmatheusm,2019-01-18,2019-01-18,5.0,"Excelente!","Muito bem localizada, com atendimento incrível! Os quartos são espaçosos e muito limpos! Recebemos ótimas dicas para conhecer melhor a cidade e comer bem! Vale a pena visitar diamantina e se hospedar lá!",Viajou em casal,indef,-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,Izamorais,2018-12-18,2018-12-18,5.0,"Natal Turístico","Excelente estadia! Atendimento impecável, cuidadoso. Ambiente muito limpo e aconchegante, todo decorado. Ótima localização,saímos o tempo todo a pé pelo centro de Diamantina. Pouso da Chica é tão maravilhosa que deixou um gostinho de quero mais! Até breve!",indef,"Itaobim, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,alinechiozzini,2018-12-18,2018-12-18,5.0,"Encantadora","Casarão histórico e cheio de histórias! Fábio nos recepcionou de forma impecável. Melhor pão de queijo do mundo! Caldinho acolhedor e delicioso nas noites frescas, mesmo no verão. Localização privilegiada.",Viajou em casal,"São Paulo, SP",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,monique_grazi,2018-12-18,2018-12-18,5.0,"Excelente estadia","A pousada é muito charmosa, possui excelente estrutura e mistura tradição com modernidade. Localização excelente, no centro histórico de Diamantina. Fiquei hospedade em um chalé standard que me surpreendeu pelo espaço e conforto. Banheiro com boa estrutura, a pousada oferece amenidades e secador de cabelo. À noite é servido um caldo com torradas no fogão à lenha, delicioso, incluso no valor da diária. O café da manhã é maravilhoso, várias opções de quitutes, sucos, etc. A receptividade e a preparação dos funcionários se destaca, ao chegar no hotel você recebe várias informações sobre a cidade, incluindo um mapa com principais pontos turísticos. Eles estão aptos a te fornecer todo o tipo de informação sobre Diamantina. Recomendo!",Viajou com a família,"Belo Horizonte, MG",-18.243295669555664,-43.599327087402344
"Pouso da Chica",3619350,hotel-review,miriammenchik,2018-11-18,2018-11-18,4.0,"Boa localização no centro histórico ","A pousada é bem localizada e dá para ir a pé no centro histórico. Os funcionários são simpáticos e atenciosos. Café da manhã muito nom com variedade de pães, doces e frutas Os chalés são bem equipados com roupas de cama e banho de boa qualidade. A cama é boa mas os travesseiros um pouco desconfortáveis. O quarto tem vários locais para apoio de malas e roupas e o banheiro apesar de pequeno é bem funcional. A posição da TV no alto do armário ficou um pouco desconfortável para assistir da cama. Nos chalés conjugados dá para ouvir o barulho do chuveiro e algumas conversas do quarto ao lado. Infelizmente durante a minha estadia havia muito barulho de música na vizinhança durante a noite o que resultou em má qualidade do sono. Mas não é culpa da propriedade. E sim a falta de bom senso e respeito das pessoas com a comunidade.",Viajou em casal,"São José dos Campos, SP",-18.243295669555664,-43.599327087402344
